NrOfRowsMerged,SIKB,OtherEnglishAlias,NVWA,ValidCas,REWAB,KIWAnumber,SIKBcode,BestCid,BestCas,ValidCid,MicrobialParameters,OtherDutchAlias,HGC,Warnings,REWAB_units,REWAB_CASnumber,Other_CASnumber,AllowMergeRows,FeatureDataBase,Category,SIKB_CASnumber,NVWA_CASnumber,SIKB_Group,DefaultUnits,Feature
2,"['calciet', 'calciumcarbonaat']","['calcite', 'calcium carbonate']",[],"['13397-26-7', '471-34-1']",[],[],"['CaCO3', 'calct']",[10112],"['13397-26-7', '471-34-1']",[10112],[],[],[],[],,[],[],True,PubChemCompound,,['471-34-1'],[],ChemischeStof,μg/L,PubChemCid 10112
1,['oxamide'],['oxamide'],[],['471-46-5'],[],[],['OaAd'],[10113],['471-46-5'],[10113],[],[],[],[],,[],[],True,PubChemCompound,,['471-46-5'],[],ChemischeStof,μg/L,PubChemCid 10113
1,[],['halfenprox'],[],['111872-58-3'],['halfenprox'],['8887'],[],[10140464],['111872-58-3'],[10140464],[],[],[],[],µg/L,['111872-58-3'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 10140464
1,['pirimisulfuron-methyl'],['pirimisulfuron-methyl'],[],['86209-51-0'],[],[],['pirmsfrnC1y'],[101525],['86209-51-0'],[101525],[],[],[],[],,[],[],True,PubChemCompound,,['86209-51-0'],[],ChemischeStof,μg/L,PubChemCid 101525
1,['tetryl (CE)'],['tetryl (CE)'],[],['479-45-8'],[],[],['tetl'],[10178],['479-45-8'],[10178],[],[],[],[],,[],[],True,PubChemCompound,,['479-45-8'],[],ChemischeStof,μg/L,PubChemCid 10178
1,['dinatriumtetraboraat'],['disodium tetraborate'],[],['1330-43-4'],[],[],['Na2B4O7'],[10219853],['1330-43-4'],[10219853],[],[],[],[],,[],[],True,PubChemCompound,,['1330-43-4'],[],ChemischeStof,μg/L,PubChemCid 10219853
1,[],['Borax'],['BORAX'],"['12267-73-1', '1310383-93-7', '1330-43-4']",[],[],[],[10219853],['12267-73-1'],"[10219853, 16211214]",[],['borax'],[],[],,[],[],True,PubChemCompound,,[],[],,μg/L,"PubChemCid 10219853, PubChemCid 16211214"
1,[],['ethyl 2-pentenoate'],[],['2445-93-4'],['ethyl-2-pentenoaat'],['1630'],[],[102263],['2445-93-4'],[102263],[],[],[],[],µg/L,['2445-93-4'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 102263
3,['binapacryl'],['binapacryl'],['BINAPACRYL'],['485-31-4'],['binapacryl'],['8051'],['binpcl'],[10234],['485-31-4'],[10234],[],['binapacryl'],[],[],,[],[],True,PubChemCompound,,['485-31-4'],[],ChemischeStof,μg/L,PubChemCid 10234
3,['amisulbrom'],['amisulbrom'],['AMISULBROM'],['348635-87-0'],['amisulbrom'],['8810'],['amsbm'],[10238657],['348635-87-0'],[10238657],[],['amisulbrom'],[],[],,[],[],True,PubChemCompound,,['348635-87-0'],[],ChemischeStof,μg/L,PubChemCid 10238657
1,[],['dimethyl benzyl ether'],[],[],['dimethylbenzylether'],['1493'],[],[102408100],[],[102408100],[],[],[],[],µg/L,[],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 102408100
2,['9-fluorenon'],"['9-fluorenone', 'fluorenone']",[],['486-25-9'],['fluorenon'],['1596'],['9fluornn'],[10241],['486-25-9'],[10241],[],[],[],[],,[],[],True,PubChemCompound,,['486-25-9'],[],ChemischeStof,μg/L,PubChemCid 10241
1,"['3,7,11,15-tetramethyl-1hexadecanol']","['3,7,\xa011,15-tetramethyl-1hexadecanol']",[],['645-72-7'],[],[],['371115T4C1y1'],[102459],['645-72-7'],[102459],[],[],[],[],,[],[],True,PubChemCompound,,['645-72-7'],[],ChemischeStof,μg/L,PubChemCid 102459
2,"['1,2,3,4-tetramethylbenzeen', 'tetramethylbenzeen']","['1,2,\xa03,4-tetramethylbenzene', 'tetramethylbenzene']",[],"['25619-60-7', '488-23-3']",[],[],"['1234T4C1yBen', 'T4C1yBen']",[10263],"['25619-60-7', '488-23-3']",[10263],[],[],[],[],,[],[],True,PubChemCompound,,['25619-60-7'],[],ChemischeStof,μg/L,PubChemCid 10263
1,[],"['2- (1,1-dimethylethyl) cyclohexanone']",[],['1728-46-7'],"['2-(1,1-dimethylethyl)cyclohexanon']",['1934'],[],[102681],['1728-46-7'],[102681],[],[],[],[],µg/L,['1728-46-7'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 102681
1,[],['dihydromethoxy pyran'],[],['2270-61-3'],['dihydromethoxypyraan'],['1491'],[],[102776],['2270-61-3'],[102776],[],[],[],[],µg/L,[],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 102776
1,['4-methylquinoline'],['4-methylquinoline'],[],['491-35-0'],[],[],['4C1yqnlne'],[10285],['491-35-0'],[10285],[],[],[],[],,[],[],True,PubChemCompound,,['491-35-0'],[],ChemischeStof,μg/L,PubChemCid 10285
1,['methyldihydrojasmonaat'],['methyl dihydrojasmonate'],[],['24851-98-7'],[],[],['C1yDHjasmnt'],[102861],['24851-98-7'],[102861],[],[],[],[],,[],[],True,PubChemCompound,,['24851-98-7'],[],ChemischeStof,μg/L,PubChemCid 102861
1,['C.I. Solvent Yellow 34'],['CI Solvent Yellow 34'],[],['492-80-8'],[],[],['cisyw34'],[10298],['492-80-8'],[10298],[],[],[],[],,[],[],True,PubChemCompound,,['492-80-8'],[],ChemischeStof,μg/L,PubChemCid 10298
1,"['1,2-propyleenglycol']","['1,2-propylene glycol']",[],['57-55-6'],[],[],['12C3yegcl'],[1030],['57-55-6'],[1030],[],[],[],[],,[],[],True,PubChemCompound,,['57-55-6'],[],ChemischeStof,μg/L,PubChemCid 1030
2,['propanol'],['propanol'],[],['71-23-8'],['propanol'],['1455'],['C3ol'],[1031],['71-23-8'],[1031],[],[],[],[],,[],[],True,PubChemCompound,,['71-23-8'],[],ChemischeStof,μg/L,PubChemCid 1031
1,['trimethylammoniumchloride'],['trimethylammonium chloride'],[],['593-81-7'],[],[],['TC1yNH4Cl'],[10313079],['593-81-7'],[10313079],[],[],[],[],,[],[],True,PubChemCompound,,['593-81-7'],[],ChemischeStof,μg/L,PubChemCid 10313079
2,['propionzuur'],"['propanoic acid', 'propionic acid']",[],['79-09-4'],['propaanzuur'],['1639'],['propozr'],[1032],['79-09-4'],[1032],[],[],[],[],,[],[],True,PubChemCompound,,['79-09-4'],[],ChemischeStof,μg/L,PubChemCid 1032
2,[],"['COBH', 'benchinox']",[],['495-73-8'],"['COBH', 'benchinox']","['8039', '8132']",[],[10320],['495-73-8'],[10320],[],[],[],[],µg/L,['495-73-8'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 10320
2,['indaan'],['indaan'],[],['496-11-7'],['indaan'],['1095'],['inda'],[10326],['496-11-7'],[10326],[],[],[],[],,[],[],True,PubChemCompound,,['496-11-7'],[],ChemischeStof,μg/L,PubChemCid 10326
1,['natriumcarbonaat'],['sodium carbonate'],[],['497-19-8'],[],[],['Na2CO3'],[10340],['497-19-8'],[10340],[],[],[],[],,[],[],True,PubChemCompound,,['497-19-8'],[],ChemischeStof,μg/L,PubChemCid 10340
1,[],['methyldioxolane'],[],['497-26-7'],['methyldioxolaan'],['1560'],[],[10342],['497-26-7'],[10342],[],[],[],[],µg/L,['497-26-7'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 10342
3,['esfenvaleraat'],['esfenvalerate'],['ESFENVALERAAT'],['66230-04-4'],['esfenvaleraat'],['8273'],['esfvlrt'],[10342051],['66230-04-4'],[10342051],[],['esfenvaleraat'],[],[],,[],[],True,PubChemCompound,,['66230-04-4'],[],ChemischeStof,μg/L,PubChemCid 10342051
1,['5-isopropyl-2-methylfenol'],['5-isopropyl-2-methylphenol'],[],['499-75-2'],[],[],['5iC3y2C1yFol'],[10364],['499-75-2'],[10364],[],[],[],[],,[],[],True,PubChemCompound,,['499-75-2'],[],ChemischeStof,μg/L,PubChemCid 10364
1,[],['1-octyne-4-ol'],[],['52517-92-7'],['1-octyn-4-ol'],['1807'],[],[103656],['52517-92-7'],[103656],[],[],[],[],µg/L,['52517-92-7'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 103656
1,[],['chlorothione'],[],['500-28-7'],['chloorthion'],['8833'],[],[10372],['500-28-7'],[10372],[],[],[],[],µg/L,['500-28-7'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 10372
1,[],['methylphenoxy ethyl propionate'],[],['128760-23-6'],['methylfenoxy-ethylpropionaat'],['1660'],[],[10398141],['128760-23-6'],[10398141],[],[],[],[],µg/L,[],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 10398141
1,['2-oxepanon'],['2-oxepanone'],[],['502-44-3'],[],[],['2Oxepnn'],[10401],['502-44-3'],[10401],[],[],[],[],,[],[],True,PubChemCompound,,['502-44-3'],[],ChemischeStof,μg/L,PubChemCid 10401
3,['fenamidon'],"['Fenamidone', 'fenamidone']",['FENAMIDONE'],['161326-34-7'],['fenamidon'],['8742'],['fenmdn'],[10403199],['161326-34-7'],[10403199],[],['fenamidone'],[],[],,[],[],True,PubChemCompound,,['161326-34-7'],[],ChemischeStof,μg/L,PubChemCid 10403199
1,"['6,10,14-trimethyl-2-pentadecanon']","['6,10,14-trimethyl-2-pentadecanone']",[],['502-69-2'],[],[],['61014TC1y2C1'],[10408],['502-69-2'],[10408],[],[],[],[],,[],[],True,PubChemCompound,,['502-69-2'],[],ChemischeStof,μg/L,PubChemCid 10408
1,['ethylbutylactetylaminopropionaat'],['ethyl butylactetylamino propionate'],[],['52304-36-6'],[],[],['EBAAP'],[104150],['52304-36-6'],[104150],[],[],[],[],,[],[],True,PubChemCompound,,['52304-36-6'],[],ChemischeStof,μg/L,PubChemCid 104150
1,['iso-valeriaanzuur'],['iso-valeric acid'],[],['503-74-2'],[],[],['ivlrazr'],[10430],['503-74-2'],[10430],[],[],[],[],,[],[],True,PubChemCompound,,['503-74-2'],[],ChemischeStof,μg/L,PubChemCid 10430
1,[],"['1,3,5-triazine-2,4-diamine']",[],['504-08-5'],"['1,3,5-triazine-2,4-diamine']",['8683'],[],[10435],['504-08-5'],[10435],[],[],[],[],µg/L,['504-08-5'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 10435
1,"['trimethyleenglycol (1,3-propyleenglycol)']",['trimethylene glycol'],[],['504-63-2'],[],[],['TC1yegcl'],[10442],['504-63-2'],[10442],[],"['1,3-propyleenglycol', 'trimethyleenglycol']",[],[],,[],[],True,PubChemCompound,,['504-63-2'],[],ChemischeStof,μg/L,PubChemCid 10442
1,['2-hydroxyibuprofen'],['2-hydroxyibuprofen'],[],['51146-55-5'],[],[],['2HOxibpfn'],[10443535],['51146-55-5'],[10443535],[],[],[],[],,[],[],True,PubChemCompound,,['51146-55-5'],[],ChemischeStof,μg/L,PubChemCid 10443535
1,"['1,4-butaandiamine']","['1,4-butanediamine']",[],['110-60-1'],[],[],['14C4aDAe'],[1045],['110-60-1'],[1045],[],[],[],[],,[],[],True,PubChemCompound,,['110-60-1'],[],ChemischeStof,μg/L,PubChemCid 1045
1,"['1,3-dioxaan']","['1,3-dioxane']",[],['505-22-6'],[],[],['13DOxan'],[10450],['505-22-6'],[10450],[],[],[],[],,[],[],True,PubChemCompound,,['505-22-6'],[],ChemischeStof,μg/L,PubChemCid 10450
1,['mosterdgas'],['mustard gas'],[],['505-60-2'],[],[],['mostgs'],[10461],['505-60-2'],[10461],[],[],[],[],,[],[],True,PubChemCompound,,['505-60-2'],[],ChemischeStof,μg/L,PubChemCid 10461
2,['heptadecaanzuur'],['heptadecanoic acid'],[],['506-12-7'],['heptadecaanzuur'],['1633'],['C17azr'],[10465],['506-12-7'],[10465],[],[],[],[],,[],[],True,PubChemCompound,,['506-12-7'],[],ChemischeStof,μg/L,PubChemCid 10465
1,['arachidezuur'],['arachic acid'],[],['506-30-9'],[],[],['arcdzr'],[10467],['506-30-9'],[10467],[],[],[],[],,[],[],True,PubChemCompound,,['506-30-9'],[],ChemischeStof,μg/L,PubChemCid 10467
1,['americium 241'],['americium 241'],[],['86954-36-1'],[],[],['Am241'],[104726],['86954-36-1'],[104726],[],[],[],[],,[],[],True,PubChemCompound,,['86954-36-1'],[],ChemischeStof,μg/L,PubChemCid 104726
1,['aluminium (driewaardig)'],['aluminum (trivalent)'],[],['22537-23-1'],[],[],['AlIII'],[104727],['22537-23-1'],[104727],[],[],[],[],,[],[],True,PubChemCompound,,['22537-23-1'],[],ChemischeStof,μg/L,PubChemCid 104727
1,['plutonium 240'],['plutonium 240'],[],['14119-33-6'],[],[],['Pu240'],[104728],['14119-33-6'],[104728],[],[],[],[],,[],[],True,PubChemCompound,,['14119-33-6'],[],ChemischeStof,μg/L,PubChemCid 104728
1,['dimethylamine-hydrochloride'],['dimethylamine hydrochloride'],[],['506-59-2'],[],[],['DC1yAeHCl'],[10473],['506-59-2'],[10473],[],[],[],[],,[],[],True,PubChemCompound,,['506-59-2'],[],ChemischeStof,μg/L,PubChemCid 10473
3,['kobalt'],"['Cobalt', 'cobalt', 'cobalt, after filtration at 0.45 µm']",[],['7440-48-4'],"['kobalt', 'kobalt, na filtratie over 0.45 æm']","['328', '329']",['Co'],[104730],['7440-48-4'],[104730],[],['kobalt'],['Co'],[],,[],[],True,PubChemCompound,atoms,['7440-48-4'],[],ChemischeStof,μg/L,PubChemCid 104730
1,['mangaan 54'],['manganese 54'],[],['13966-31-9'],[],[],['Mn54'],[104743],['13966-31-9'],[104743],[],[],[],[],,[],[],True,PubChemCompound,,['13966-31-9'],[],ChemischeStof,μg/L,PubChemCid 104743
1,['propionaat'],['propionate'],[],['72-03-7'],[],[],['propont'],[104745],['72-03-7'],[104745],[],[],[],[],,[],[],True,PubChemCompound,,['72-03-7'],[],ChemischeStof,μg/L,PubChemCid 104745
1,['ruthenium 103'],['ruthenium 103'],[],['13968-53-1'],[],[],['Ru103'],[104749],['13968-53-1'],[104749],[],[],[],[],,[],[],True,PubChemCompound,,['13968-53-1'],[],ChemischeStof,μg/L,PubChemCid 104749
2,['chloraat'],['chlorate'],[],['14866-68-3'],['chloraat'],['396'],['ClO3'],[104770],['14866-68-3'],[104770],[],[],[],[],,[],[],True,PubChemCompound,,['14866-68-3'],[],ChemischeStof,μg/L,PubChemCid 104770
1,['kwik 203'],['mercury 203'],[],['13982-78-0'],[],[],['Hg203'],[104771],['13982-78-0'],[104771],[],[],[],[],,[],[],True,PubChemCompound,,['13982-78-0'],[],ChemischeStof,μg/L,PubChemCid 104771
1,['cadmium 109'],['cadmium 109'],[],['14109-32-1'],[],[],['Cd109'],[104782],['14109-32-1'],[104782],[],[],[],[],,[],[],True,PubChemCompound,,['14109-32-1'],[],ChemischeStof,μg/L,PubChemCid 104782
1,['neptunium 237'],['neptunium 237'],[],['13994-20-2'],[],[],['Np237'],[104783],['13994-20-2'],[104783],[],[],[],[],,[],[],True,PubChemCompound,,['13994-20-2'],[],ChemischeStof,μg/L,PubChemCid 104783
1,['ijzer 59'],['iron 59'],[],['14596-12-4'],[],[],['Fe59'],[104784],['14596-12-4'],[104784],[],[],[],[],,[],[],True,PubChemCompound,,['14596-12-4'],[],ChemischeStof,μg/L,PubChemCid 104784
1,['chroom 51'],['chrome 51'],[],['14392-02-0'],[],[],['Cr51'],[104786],['14392-02-0'],[104786],[],[],[],[],,[],[],True,PubChemCompound,,['14392-02-0'],[],ChemischeStof,μg/L,PubChemCid 104786
2,['pyrazol'],"['Pyrazole', 'pyrazole']",[],['288-13-1'],['Pyrazool'],['2322'],['pyrzl'],[1048],['288-13-1'],[1048],[],[],[],[],,[],[],True,PubChemCompound,,['288-13-1'],[],ChemischeStof,μg/L,PubChemCid 1048
1,['jodium 125'],['iodine 125'],[],['14158-31-7'],[],[],['I125'],[104800],['14158-31-7'],[104800],[],[],[],[],,[],[],True,PubChemCompound,,['14158-31-7'],[],ChemischeStof,μg/L,PubChemCid 104800
1,['cerium 141'],['cerium 141'],[],['13967-74-3'],[],[],['Ce141'],[104814],['13967-74-3'],[104814],[],[],[],[],,[],[],True,PubChemCompound,,['13967-74-3'],[],ChemischeStof,μg/L,PubChemCid 104814
1,['kobalt 58'],['cobalt 58'],[],['13981-38-9'],[],[],['Co58'],[104844],['13981-38-9'],[104844],[],[],[],[],,[],[],True,PubChemCompound,,['13981-38-9'],[],ChemischeStof,μg/L,PubChemCid 104844
1,['kobalt 57'],['cobalt 57'],[],['13981-50-5'],[],[],['Co57'],[104851],['13981-50-5'],[104851],[],[],[],[],,[],[],True,PubChemCompound,,['13981-50-5'],[],ChemischeStof,μg/L,PubChemCid 104851
1,['thorium 234'],['thorium 234'],[],['15065-10-8'],[],[],['Th234'],[104875],['15065-10-8'],[104875],[],[],[],[],,[],[],True,PubChemCompound,,['15065-10-8'],[],ChemischeStof,μg/L,PubChemCid 104875
1,['lanthaan 140'],['lanthanum 140'],[],['13981-28-7'],[],[],['La140'],[104882],['13981-28-7'],[104882],[],[],[],[],,[],[],True,PubChemCompound,,['13981-28-7'],[],ChemischeStof,μg/L,PubChemCid 104882
2,['pyridine'],['pyridine'],[],['110-86-1'],['pyridine'],['8528'],['pyrdne'],[1049],['110-86-1'],[1049],[],[],[],[],,[],[],True,PubChemCompound,,['110-86-1'],[],ChemischeStof,μg/L,PubChemCid 1049
1,['europium 152'],['europium 152'],[],['14683-23-9'],[],[],['Eu152'],[104907],['14683-23-9'],[104907],[],[],[],[],,[],[],True,PubChemCompound,,['14683-23-9'],[],ChemischeStof,μg/L,PubChemCid 104907
3,['cyfluthrin'],['cyfluthrin'],['CYFLUTHRIN'],['68359-37-5'],['cyfluthrin'],['8142'],['cyftn'],[104926],['68359-37-5'],[104926],[],['cyfluthrin'],[],[],,[],[],True,PubChemCompound,,['68359-37-5'],[],ChemischeStof,μg/L,PubChemCid 104926
1,"[""3,3',4,4',5,5'-hexabroombifenyl""]","[""3,3 ', 4,4\xa0'\xa0, 5,5'-Hexabromobiphenyl""]",[],['60044-26-0'],[],[],['PBB169'],[104942],['60044-26-0'],[104942],[],[],[],[],,[],[],True,PubChemCompound,,['60044-26-0'],[],ChemischeStof,μg/L,PubChemCid 104942
1,['neptunium 239'],['neptunium 239'],[],['13968-59-7'],[],[],['Np239'],[104958],['13968-59-7'],[104958],[],[],[],[],,[],[],True,PubChemCompound,,['13968-59-7'],[],ChemischeStof,μg/L,PubChemCid 104958
1,['yttrium 91'],['yttrium 91'],[],['14234-24-3'],[],[],['Y91'],[104964],['14234-24-3'],[104964],[],[],[],[],,[],[],True,PubChemCompound,,['14234-24-3'],[],ChemischeStof,μg/L,PubChemCid 104964
1,['molybdeen 99'],['molybdenum 99'],[],['14119-15-4'],[],[],['Mo99'],[104976],['14119-15-4'],[104976],[],[],[],[],,[],[],True,PubChemCompound,,['14119-15-4'],[],ChemischeStof,μg/L,PubChemCid 104976
3,['methoxyfenozide'],['methoxyfenozide'],['METHOXYFENOZIDE'],['161050-58-4'],['methoxyfenozide'],['8771'],['C1oxfnzde'],[105010],['161050-58-4'],[105010],[],['methoxyfenozide'],[],[],,[],[],True,PubChemCompound,,['161050-58-4'],[],ChemischeStof,μg/L,PubChemCid 105010
1,['europium 154'],['europium 154'],[],['15585-10-1'],[],[],['Eu154'],[105012],['15585-10-1'],[105012],[],[],[],[],,[],[],True,PubChemCompound,,['15585-10-1'],[],ChemischeStof,μg/L,PubChemCid 105012
1,['koolstof 13'],['carbon 13'],[],['14762-74-4'],[],[],['C13'],[105026],['14762-74-4'],[105026],[],[],[],[],,[],[],True,PubChemCompound,,['14762-74-4'],[],ChemischeStof,μg/L,PubChemCid 105026
1,[],"['3,4-methylenedioxyethamphetamine']",[],['82801-81-8'],"['3,4-methyleendioxyethamfetamine']",['6166'],[],[105039],['82801-81-8'],[105039],[],[],[],[],µg/L,['82801-81-8'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 105039
1,['actinium 228'],['actinium 228'],[],['14331-83-0'],[],[],['Ac228'],[105063],['14331-83-0'],[105063],[],[],[],[],,[],[],True,PubChemCompound,,['14331-83-0'],[],ChemischeStof,μg/L,PubChemCid 105063
1,['europium 155'],['europium 155'],[],['14391-16-3'],[],[],['Eu155'],[105088],['14391-16-3'],[105088],[],[],[],[],,[],[],True,PubChemCompound,,['14391-16-3'],[],ChemischeStof,μg/L,PubChemCid 105088
1,['plutonium 237'],['plutonium 237'],[],['15411-93-5'],[],[],['Pu237'],[105138],['15411-93-5'],[105138],[],[],[],[],,[],[],True,PubChemCompound,,['15411-93-5'],[],ChemischeStof,μg/L,PubChemCid 105138
1,['zuurstof18 water'],['oxygen18 water'],[],['14314-42-2'],[],[],['O18-H2O'],[105142],['14314-42-2'],[105142],[],[],[],[],,[],[],True,PubChemCompound,,['14314-42-2'],[],ChemischeStof,μg/L,PubChemCid 105142
1,['protactinium 231'],['protactinium 231'],[],['14331-85-2'],[],[],['Pa231'],[105147],['14331-85-2'],[105147],[],[],[],[],,[],[],True,PubChemCompound,,['14331-85-2'],[],ChemischeStof,μg/L,PubChemCid 105147
1,['curium 243'],['curium 243'],[],['15757-87-6'],[],[],['Cm243'],[105155],['15757-87-6'],[105155],[],[],[],[],,[],[],True,PubChemCompound,,['15757-87-6'],[],ChemischeStof,μg/L,PubChemCid 105155
1,['yttrium 88'],['yttrium 88'],[],['13982-36-0'],[],[],['Y88'],[105173],['13982-36-0'],[105173],[],[],[],[],,[],[],True,PubChemCompound,,['13982-36-0'],[],ChemischeStof,μg/L,PubChemCid 105173
1,['californium 249'],['californium 249'],[],['15237-97-5'],[],[],['Cf249'],[105176],['15237-97-5'],[105176],[],[],[],[],,[],[],True,PubChemCompound,,['15237-97-5'],[],ChemischeStof,μg/L,PubChemCid 105176
2,"[""ethyl-4,4'-dichloorbenzilaat""]","['chlorobenzylate', ""ethyl 4,4'-dichlorobenzylate""]",[],['510-15-6'],['chloorbenzilaat'],['8096'],['C2y44DClbzlt'],[10522],['510-15-6'],[10522],[],[],[],[],µg/L,['510-15-6'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 10522
1,[],['t-butoxymetoxymethane'],[],['66728-50-5'],['t-butoxymetoxymethaan'],['1818'],[],[105381],['66728-50-5'],[105381],[],[],[],[],µg/L,[],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 105381
2,['trimethylfosfaat'],['trimethyl phosphate'],[],['512-56-1'],['trimethylfosfaat'],['1771'],['TC1yPO4'],[10541],['512-56-1'],[10541],[],[],[],[],,[],[],True,PubChemCompound,,['512-56-1'],[],ChemischeStof,μg/L,PubChemCid 10541
1,[],['tripropyl phosphate'],[],['513-08-6'],['tripropylfosfaat'],['1776'],[],[10546],['513-08-6'],[10546],[],[],[],[],µg/L,['513-08-6'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 10546
1,['2-methyl-1-propaanthiol'],['2-methyl-1-propanethiol'],[],['513-44-0'],[],[],['2C1y1C3atol'],[10558],['513-44-0'],[10558],[],[],[],[],,[],[],True,PubChemCompound,,['513-44-0'],[],ChemischeStof,μg/L,PubChemCid 10558
1,['2-butaanthiol'],['2-butanethiol'],[],['513-53-1'],[],[],['2C4atol'],[10560],['513-53-1'],[10560],[],[],[],[],,[],[],True,PubChemCompound,,['513-53-1'],[],ChemischeStof,μg/L,PubChemCid 10560
2,['perfluorhexadecaanzuur'],"['perfluorohexadecanoic acid', 'perfluorooctadecanoic acid']",[],['67905-19-5'],['perfluoroctadecaanzuur'],['2317'],['PFC16azr'],[106027],['67905-19-5'],[106027],[],[],[],['Alias and CAS both have CID but do not overlap'],µg/L,['67905-19-5'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 106027
2,['fosfaat'],"['Phosphate', 'orthophosphate', 'total Phosphate']",[],['14265-44-2'],['orthofosfaat'],['284'],['PO4'],[1061],['14265-44-2'],[1061],[],"['fosfaat', 'totaal fosfaat']",['PO4'],[],,[],[],True,PubChemCompound,ions,['14265-44-2'],[],ChemischeStof,mg/L,PubChemCid 1061
